title,address,phone,years_in_biz,email,website
A Personal Touch Detailing,"1317 E Veterans Memorial Blvd, Killeen, TX 76541",(254) 526-2008,12,,
Car Wash USA,"8804 Ohio Dr, Plano, TX 75024",(972) 335-9274,17,,https://www.carwashusaplano.com/
,,,,,
,,,,,
,,,,,
Quick N Easy Full Service Car Wash,"6313 S Broadway Ave, Tyler, TX 75703",(903) 581-5669,18,mrkmcadams@yahoo.com,
Las Brisas Hand Wash,"820 W Harrison Ave, Harlingen, TX 78550",(956) 364-3499,,,http://brisas.com/
Posh Car Wash,"751 W Round Grove Rd, Lewisville, TX 75067",(972) 459-2400,,,
Mister Car Wash & Express Lube,"6365 Montana Ave, El Paso, TX 79925",(915) 772-2613,,socialmedia@mistercarwash.com,http://www.mistercarwash.com/
Squeaky Clean Car Wash,"10923 Voth Rd, Beaumont, TX 77713",(409) 860-3800,13,,http://squeakycleanwash.com/
Turtle Hole Partners,"1814 Sand Rd, Vernon, TX 76384",(940) 553-4191,15,,
Hand Car Wash & Auto Detailing,"4840 Brandeis St, San Antonio, TX 78249",(210) 908-2491,,info@thehandcarwash.com,http://www.thehandcarwash.com/?redirect=false
Rick's Detailing,"5146 Ayers St, Corpus Christi, TX 78415",(361) 855-4490,37,,http://www.ricksdetailing.com/
Sherman Collision Repair,"1317 S Sam Rayburn Fwy, Sherman, TX 75090",(903) 893-4971,12,,http://www.shermancollisionrepair.com/
Vintage Car Wash & Lube,"6815 Preston Rd, Dallas, TX 75205",(214) 526-0540,19,jpipes@gapcapital.com,http://www.vintagecarwash.com/
Superior Car Wash,"13313 Southwest Fwy, Sugar Land, TX 77478",(281) 240-0872,11,superiormedspa@gmail.com,
Mister Car Wash,"380 Uvalde Rd, Houston, TX 77015",(713) 455-6651,23,fundraising@mistercarwash.com,http://www.mistercarwash.com/
Genesis Car Wash & Detail,"2567b Gessner Rd, Houston, TX 77080",(713) 461-0824,,,
Patriot Car Wash,"21195 Interstate 35, Kyle, TX 78640",(512) 262-3301,14,,
Car Care Plus,"14518 Hempstead Rd Ste 3n, Houston, TX 77040",(713) 690-7860,29,,
Scooters Place Car Wash,"5220 Atascocita Rd, Humble, TX 77346",(832) 644-8980,,,
Bubbles Express-Bx7,"15232 Wallisville Rd, Houston, TX 77049",(713) 455-4456,10,webmasteradmin@jamesecarter157.org,http://bubblesexpress.com/
Socha's Car Wash,,(361) 782-5820,12,,
Simoniz Car Wash,"17230 Preston Rd, Dallas, TX 75252",(972) 407-0085,27,coupons@washdepot.com,http://cleancarfeeling.com/
Jay's Mobile Detail,"Austin 78701, Austin, TX 78701",(512) 971-9274,,,
Johnny Edwards,"505 David St, Clarksville, TX 75426",(903) 427-4108,12,,
M & V Detail Shop,"119 S Shelby St, Carthage, TX 75633",(903) 693-6322,15,,
Ride & Shine Detail Shop,"701 E Main St, Henderson, TX 75652",(903) 655-2781,11,,
Wave Wash,"12050 E Northwest Hwy, Dallas, TX 75218",(214) 367-8000,13,greenville@wavewash.com,http://www.wavewash.com/
Touch of Class Auto Detail,"721 W 2nd St, Odessa, TX 79763",(432) 335-0030,71,,http://touchofglass.com/
Dealers Detail,"407 Northcutt Ave, Longview, TX 75601",(903) 234-8140,13,,http://garciadealersauto.wix.com/longviewcarwash
Ultra Detailing,"1220 Lumpkin Rd, Houston, TX 77043",(713) 984-9767,21,roadrashmedia@att.net,http://www.ultradetailing.com/
Boss Kustoms,"1100 E Delano Ave, Littlefield, TX 79339",(806) 385-6630,23,,
Vizza Wash,"2208 NW Loop 410, San Antonio, TX 78230",(210) 493-8822,13,,http://washtub.com/
Genie Car Wash,"1311 S Lamar Blvd, Austin, TX 78704",(512) 444-9274,51,,http://www.geniecw.com/
Sparkle Carwash & Washateria,"10565 Hammerly Blvd, Houston, TX 77043",(713) 461-5072,12,,http://sparklecarwash.net/
Triple T Detail Shop,"17014 Fm 2493, Flint, TX 75762",(903) 894-5500,13,,
,,,,,
Tiger Carwash,"519 Lake Rd, Belton, TX 76513",(254) 939-8869,12,,http://www.carwash.com/
Gee-Ride Detailing Enterprise,"10030 Tanner Rd, Houston, TX 77041",(713) 329-9373,15,,
Clyde Super Clean Carwash,"303 S 1st St, Clyde, TX 79510",(325) 893-1658,2,,
Fast Track Express Car Wash,"6402 San Pedro Ave, San Antonio, TX 78216",(210) 340-4464,25,,
Mister Car Wash,"8500 Research Blvd Ste 100, Austin, TX 78758",(512) 467-6633,23,media@mistercarwash.com,http://www.mistercarwash.com/location/research
,,,,,
Keri's Details,"130 Harms Dr, Springtown, TX 76082",(817) 677-4000,12,,
Court Automotive Paint & Body,"1818 Finfeather Rd, Bryan, TX 77801",(979) 822-9771,9,,http://www.courtautomotive.com/
The Car Wash,"220 W Business 190, Copperas Cove, TX 76522",(254) 542-1520,14,,
Conley Enterprises,"6150 Jack C Hays Trl, Kyle, TX 78640",(512) 268-6608,19,,
Car Butler 112,"2800 Post Oak Blvd, Houston, TX 77056",(713) 621-9274,12,,http://carbutler.com/
Texas Carwash,"615 W 2nd St, Rio Grande City, TX 78582",(956) 487-2951,18,,
McKinney Finish Line Carwash,"2791 Virginia Pkwy, Mckinney, TX 75071",(469) 952-3232,14,,http://www.mckinneyfinishline.com/
Magic Touch Express Carwash,"909 W Southwest Loop 323, Tyler, TX 75701",(903) 581-5700,6,,
Mister Car Wash,"2530 Highway 6, Sugar Land, TX 77478",(281) 265-0080,4,media@mistercarwash.com,http://www.mistercarwash.com/
Detailing Technologies,"2203 Timberloch Pl, Spring, TX 77380",(281) 296-5701,16,findit@hcnonline.com,
Dollar Carwash,"803 NE Big Bend Trl, Glen Rose, TX 76043",(254) 898-9039,12,glenrosegym@gmail.com,
Shine Express Carwash IV,"Fort Worth 76132, Fort Worth, TX 76132",(817) 294-9757,,,
Snider Car Wash,"226 Fitz Rd, Alvin, TX 77511",(281) 585-4556,16,findit@hcnonline.com,
Concho Collision,"1909 W Beauregard Ave, San Angelo, TX 76901",(325) 947-9473,17,conchocollision@zipnet.us,http://www.conchocollision.com/
Vintage Car Wash,"9811 Dyer St, El Paso, TX 79924",(915) 757-1485,,,http://www.mistercarwash.com/
Giddings Laser Wash,"1449 E Austin St, Giddings, TX 78942",(979) 542-6623,19,,
Jones Self Service Carwash,"525 W Irving Blvd, Irving, TX 75060",(214) 596-9195,12,,
Special Touch Detail Shop,,(254) 697-4955,,,
Crm Lp,"9601 S Georgia St, Amarillo, TX 79118",(806) 353-2570,9,,
Lancaster New Creations Hand Car Wash,"2563 N Dallas Ave, Lancaster, TX 75134",(972) 227-9221,22,Newcreationslancaster@gmail.com,
Aquatech Carwash,"16951 Ella Blvd, Houston, TX 77090",(281) 440-8704,13,,
Bluewave Express Carwash,"9801 Jones Rd, Houston, TX 77065",(281) 955-0072,4,corporate@bluewex.com,http://www.bluewaveexpress.com/
Waterfalls Car Wash,"811 S Greenville Ave, Allen, TX 75002",(214) 383-0980,19,wflube@yahoo.com,http://waterfalls.com/
All-Time Shine,"Rowlett, TX 75030",(214) 498-0470,,,
Bucky's Car Wash,"1310 W Main St, Gun Barrel City, TX 75156",(903) 887-0488,11,BuckysGunBarrel@gmail.com,http://www.buckyscarwash.com/
Car Clean Up Systems Inc,"6110 Dashwood Dr, Houston, TX 77081",(713) 777-6532,,,
Solo Car Wash,"416 S Cage Blvd, Pharr, TX 78577",(956) 223-2626,,,
,,,,,
Mister Car Wash,"8500 Research Blvd Ste 100, Austin, TX 78758",(512) 467-6633,23,media@mistercarwash.com,http://www.mistercarwash.com/location/research
Rolling Creek Car Wash,"16914 Rolling Creek Dr, Houston, TX 77090",(281) 580-9274,12,rollingcreekcarwash@yahoo.com,http://www.rollingcreekcarwash.com/
Keri's Details,"130 Harms Dr, Springtown, TX 76082",(817) 677-4000,12,,
Court Automotive Paint & Body,"1818 Finfeather Rd, Bryan, TX 77801",(979) 822-9771,9,,http://www.courtautomotive.com/
The Car Wash,"220 W Business 190, Copperas Cove, TX 76522",(254) 542-1520,14,,
Conley Enterprises,"6150 Jack C Hays Trl, Kyle, TX 78640",(512) 268-6608,19,,
Car Butler 112,"2800 Post Oak Blvd, Houston, TX 77056",(713) 621-9274,12,,http://carbutler.com/
Texas Carwash,"615 W 2nd St, Rio Grande City, TX 78582",(956) 487-2951,18,,
McKinney Finish Line Carwash,"2791 Virginia Pkwy, Mckinney, TX 75071",(469) 952-3232,14,,http://www.mckinneyfinishline.com/
Magic Touch Express Carwash,"909 W Southwest Loop 323, Tyler, TX 75701",(903) 581-5700,6,,
Mister Car Wash,"2530 Highway 6, Sugar Land, TX 77478",(281) 265-0080,4,media@mistercarwash.com,http://www.mistercarwash.com/
Detailing Technologies,"2203 Timberloch Pl, Spring, TX 77380",(281) 296-5701,16,findit@hcnonline.com,
Dollar Carwash,"803 NE Big Bend Trl, Glen Rose, TX 76043",(254) 898-9039,12,glenrosegym@gmail.com,
Shine Express Carwash IV,"Fort Worth 76132, Fort Worth, TX 76132",(817) 294-9757,,,
Snider Car Wash,"226 Fitz Rd, Alvin, TX 77511",(281) 585-4556,16,findit@hcnonline.com,
Concho Collision,"1909 W Beauregard Ave, San Angelo, TX 76901",(325) 947-9473,17,conchocollision@zipnet.us,http://www.conchocollision.com/
Vintage Car Wash,"9811 Dyer St, El Paso, TX 79924",(915) 757-1485,,,http://www.mistercarwash.com/
Giddings Laser Wash,"1449 E Austin St, Giddings, TX 78942",(979) 542-6623,19,,
Jones Self Service Carwash,"525 W Irving Blvd, Irving, TX 75060",(214) 596-9195,12,,
Special Touch Detail Shop,,(254) 697-4955,,,
Crm Lp,"9601 S Georgia St, Amarillo, TX 79118",(806) 353-2570,9,,
,,,,,
Genie Car Wash,"1311 S Lamar Blvd, Austin, TX 78704",(512) 444-9274,51,,http://www.geniecw.com/
Lone Star Express Wash,"16832 State Highway 36 S, Somerville, TX 77879",(979) 596-2002,12,,
Five Starz Magic Detail,"301 S High St, Longview, TX 75601",(903) 758-2400,13,fivestarzmagicdetail@gmail.com,
Wax Works Auto Detail,"12127 Murphy Rd, Stafford, TX 77477",(281) 495-8946,38,,http://www.autodetailinghouston.com/
Wash Merrick's Touch Free,"303 NW 3rd St, Andrews, TX 79714",(432) 523-6659,12,,
Lipinski Interiors,"Fort Worth 76101, Fort Worth, TX 76101",(817) 291-2879,41,,http://www.lipinskiinteriors.com/
Star Car Wash,"2111 N Hampton Rd, Desoto, TX 75115",(972) 298-5772,8,mglaser@starcarwash.com,http://www.starcarwash.com/
Superior Tomball Car Wash,"27840 State Highway 249, Tomball, TX 77375",(281) 516-3434,8,tomballsuperiorcarwash@gmail.com,
David's Carwash,"8201 9th Ave, Port Arthur, TX 77642",(409) 727-4484,15,hien_tong23@hotmail.com,
Waterworks Car Wash,"7912 Fredericksburg Rd, San Antonio, TX 78229",(210) 615-2360,,,http://waterworks-carwash.com/
Los Potrillos Carwash,"1000 E Us Highway 83, Pharr, TX 78577",(956) 681-6661,12,lospotrilloscarwash@yahoo.com,
Eagans' Detailing,"6101 N Fm 39, Jewett, TX 75846",(903) 626-4909,23,,
Inwood Best Car Wash,"1449 Inwood Rd, Dallas, TX 75247",(214) 879-0292,16,,
D & H Car Wash,"Arlington, TX 76010",(817) 277-8100,,,
Midway Car Wash & Detail,"18933 State Highway 155 S, Flint, TX 75762",(903) 825-2737,12,,
Super Suds Car Wash,"918 Us Highway 79 N, Henderson, TX 75652",(903) 657-2426,12,,
Soapy Springs Carwash,"612 W 11th St, Friona, TX 79035",(806) 250-2288,15,,
My Car Wash,"2520 E Plano Pkwy, Plano, TX 75074",(972) 881-9111,12,,http://mycarwash.biz/
Twin City Car Wash Systems,"3415 N State Line Ave, Texarkana, TX 75503",(903) 793-7165,14,,
Totally Mobile Detail Inc,"4134 Briarcrest St, San Antonio, TX 78247",(210) 490-5409,27,,
Saginaw Express Carwash,"100 E Mcleroy Blvd, Saginaw, TX 76179",(817) 847-4743,13,,http://www.jettexpresscarwash.com/
Azle Car Wash,"200 Speer St, Azle, TX 76020",(817) 444-4555,,,
Villa Detail & Mobile Car Wash,"5707 Avenue Q South Dr, Lubbock, TX 79412",(806) 744-9104,13,,http://villadetail.com/
Sweet Spot Car Wash,"7913 Harwood Rd, North Richland Hills, TX 76180",(682) 503-9813,15,,
Silverline Car Wash,"3101 Cullen Blvd, Pearland, TX 77584",(281) 412-7804,,,
Galaxia Car Wash,"1393 Calle Galaxia, Brownsville, TX 78520",(956) 982-1409,,,
Mr Magic,"12109 County Road 1800, Lubbock, TX 79424",(806) 789-0017,26,,
Brandon's Auto Detailing,"5705 Norris St, Fort Worth, TX 76119",(817) 683-6839,,,
M & M Detailing,"405 Pace Dr, Denton, TX 76209",(940) 387-4223,,,
Auto Salon,"1819 san pedro ave, San Antonio, TX 78212",(210) 235-8857,114,,
Jackson Enterprises,"629 S Ww White Rd, San Antonio, TX 78220",(210) 333-1553,,,
Dailey Mark & Lorraine M,"San Antonio, TX 78201",(830) 438-4004,,,
Car Wash,"402 S Palestine St, Athens, TX 75751",(903) 670-1764,,,
Jonny's Mobile Wash,"5809 E County Road 60, Midland, TX 79705",(432) 631-8721,12,,
K & D Car Wash,"Lufkin, TX 75901",(936) 634-1119,,,
Professional Car Wash,"5304 Spencer Hwy, Pasadena, TX 77505",(281) 991-1355,,,
Regency Car Wash,"8810 Main St, Houston, TX 77025",(713) 664-6990,25,,http://mistercarwash.com/location/south-main
Diamond Car Wash,"100 Massey Tompkins Rd, Baytown, TX 77521",(409) 420-5043,,,
Mister Car Wash,"10760 Westheimer Rd, Houston, TX 77042",(713) 781-1408,35,socialmedia@mistercarwash.com,http://www.mistercarwash.com/
First Class Auto Care,"700 N Pearl St, Dallas, TX 75201",(214) 969-9403,22,privacy@lendlease.com,http://www.bovislendlease.com/
Spotless Auto Detailing,"11216 Javalin Trl, Helotes, TX 78023",(210) 240-2194,13,,http://spotlessautousa.com/DEFAULT.ASPX
Extreme Car Wash & Detailing,"402 S Richey St, South Houston, TX 77587",(713) 943-1185,,,
Chariot Carwash,"2005 Bingle Rd, Houston, TX 77055",(713) 468-2112,11,media@mistercarwash.com,http://www.chariotcarwash.com/
Parkway Car Wash,"5809 34th St, Lubbock, TX 79407",(806) 784-0877,,,
Auto Wash Enterprise,"3111 Old Denton Rd, Carrollton, TX 75007",(972) 578-8899,28,sdodson@washgroup.net,
Mi-T Fine Car Wash Inc,"4136 Broadway Blvd, Garland, TX 75043",(972) 240-6667,32,,http://mitfinecarwash.com/
Mint Condition Car Wash,"5040 S State Highway 360, Grand Prairie, TX 75052",(972) 606-6001,12,,http://mintconditioncarwashtx.com/
D Town Tires & Carwash,"1504 S Westmoreland Rd, Dallas, TX 75211",(214) 337-7472,,Angprdgz19@gmail.com,
Glen Rose Tiger Wash,"401 S Gaither St, Glen Rose, TX 76043",(254) 898-0672,14,,
Hurricane Powerwash,"8208 Northeast Pkwy, North Richland Hills, TX 76182",(817) 788-4644,,,
Badger Car Wash,"109 E Avenue B, Lampasas, TX 76550",(512) 556-8838,12,,
Tommy Terrific's Car Wash,"3541 Forest Ln, Dallas, TX 75234",(972) 243-4323,11,Lanese@Trademarkwash.com,http://www.tommyterrificscarwash.com/
Prestige Auto Clean,"500 W Nasa Rd 1, Webster, TX 77598",(281) 338-1616,,,
Associated Mobile Wash,"Irving, Irving, TX 75039",(972) 790-6922,,,
Bouchie Joshua & Rookmin,"2601 County Road 229, Florence, TX 76527",(254) 793-2008,12,,
Snappy Wash,"4950 W Illinois Ave, Dallas, TX 75211",(214) 330-9274,8,,
Mister Car Wash,"5721 Burnet Rd, Austin, TX 78756",(512) 451-4970,23,media@mistercarwash.com,http://mistercarwash.com/
Krahn Car Wash,"115 W Glenview Dr, San Antonio, TX 78228",(210) 738-2712,,,
Quick Slick Lube & Detail,"333 Elm St, Graham, TX 76450",(940) 549-9476,17,,http://quicklane.com/
Splash N Dash,"415 State Highway 35 S, Port Lavaca, TX 77979",(361) 553-6927,,,
First Class Detail,"17800 Dickerson St, Dallas, TX 75252",(972) 803-6955,,,
Frontline Mobile Wash,"327 N Walnut Way, Boerne, TX 78006",(830) 537-9202,17,rayearlshannon@yahoo.com,
Stanton Car Wash,"800 Saint Peter, Stanton, TX 79782",(432) 607-2244,14,,
Splash & Dash Auto Detail,"4931 Fm 350 S, Livingston, TX 77351",(936) 967-4905,15,,
Concho Car Wash,"706 W Avenue N, San Angelo, TX 76903",(325) 653-5435,37,,http://www.conchocollision.com/
Big Lue's Auto Detailing,"11817 Judd Ct, Dallas, TX 75243",(214) 575-5733,24,,
Advance Auto Detail,,(210) 274-9997,21,Toddsdetail@yahoo.com,
,,,,,
Mister Car Wash,"10760 Westheimer Rd, Houston, TX 77042",(713) 781-1408,35,socialmedia@mistercarwash.com,http://www.mistercarwash.com/
First Class Auto Care,"700 N Pearl St, Dallas, TX 75201",(214) 969-9403,22,privacy@lendlease.com,http://www.bovislendlease.com/
Spotless Auto Detailing,"11216 Javalin Trl, Helotes, TX 78023",(210) 240-2194,13,,http://spotlessautousa.com/DEFAULT.ASPX
Extreme Car Wash & Detailing,"402 S Richey St, South Houston, TX 77587",(713) 943-1185,,,
Chariot Carwash,"2005 Bingle Rd, Houston, TX 77055",(713) 468-2112,11,media@mistercarwash.com,http://www.chariotcarwash.com/
Parkway Car Wash,"5809 34th St, Lubbock, TX 79407",(806) 784-0877,,,
Auto Wash Enterprise,"3111 Old Denton Rd, Carrollton, TX 75007",(972) 578-8899,28,sdodson@washgroup.net,
Mi-T Fine Car Wash Inc,"4136 Broadway Blvd, Garland, TX 75043",(972) 240-6667,32,,http://mitfinecarwash.com/
Mint Condition Car Wash,"5040 S State Highway 360, Grand Prairie, TX 75052",(972) 606-6001,12,,http://mintconditioncarwashtx.com/
D Town Tires & Carwash,"1504 S Westmoreland Rd, Dallas, TX 75211",(214) 337-7472,,Angprdgz19@gmail.com,
Glen Rose Tiger Wash,"401 S Gaither St, Glen Rose, TX 76043",(254) 898-0672,14,,
Hurricane Powerwash,"8208 Northeast Pkwy, North Richland Hills, TX 76182",(817) 788-4644,,,
Badger Car Wash,"109 E Avenue B, Lampasas, TX 76550",(512) 556-8838,12,,
Tommy Terrific's Car Wash,"3541 Forest Ln, Dallas, TX 75234",(972) 243-4323,11,Lanese@Trademarkwash.com,http://www.tommyterrificscarwash.com/
Prestige Auto Clean,"500 W Nasa Rd 1, Webster, TX 77598",(281) 338-1616,,,
Associated Mobile Wash,"Irving, Irving, TX 75039",(972) 790-6922,,,
Bouchie Joshua & Rookmin,"2601 County Road 229, Florence, TX 76527",(254) 793-2008,12,,
Snappy Wash,"4950 W Illinois Ave, Dallas, TX 75211",(214) 330-9274,8,,
