USDOT,MC_docket#,entity_type,operating_status,out_of_service,legal_name,dba_name,contact_name,physical_address,business_phone,mobile_number,email_address,mailnig_address,power units,drivers,mcs 150,Mileage (Year),operation_classification,carrier_operation,cargo_carried
3333729,,CARRIER,ACTIVE,None,A&Y DAL PORTO FARMS INC,,A&Y DAL PORTO FARMS INC,"3453 GLENEAGLES DR
STOCKTON, CA   95219-1818",(209) 986-8772,(209) 986-8772,ALBERTDALPORTO@YAHOO.COM,"3453 GLENEAGLES DR
STOCKTON, CA   95219-1818",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Machinery, Large Objects, Fresh Produce, Commodities Dry Bulk, Agricultural/Farm Supplies, "
3333777,,CARRIER,ACTIVE,None,LOS ARCOS LIVESTOCK FEED STORE LLC,,LOS ARCOS LIVESTOCK FEED STORE LLC,"8162 HALLWOOD BLVD
MARYSVILLE, CA   95901-9406",(530) 741-3070,(530) 741-3070,LOSARCOSFEEDSTORE@ATT.NET,"8162 HALLWOOD BLVD
MARYSVILLE, CA   95901-9406",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3333826,,CARRIER,ACTIVE,None,AMERICAN LEAGUE CAR HAULING INC,,AMERICAN LEAGUE CAR HAULING INC,"5499 MARY JO WAY
SAN JOSE, CA   95124-6235",(818) 452-3000,(818) 452-3000,DANDRE.GUIRAND@GMAIL.COM,"5499 MARY JO WAY
SAN JOSE, CA   95124-6235",1,1,9/12/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Motor Vehicles, Drive/Tow away, "
3333850,,CARRIER,ACTIVE,None,FIDEL GUZMAN,,FIDEL GUZMAN,"2139 MAHONEY ST
BAKERSFIELD, CA   93307-4017",(213) 842-4585,(213) 842-4585,AEVEHICLEREG@GMAIL.COM,"2139 MAHONEY ST
BAKERSFIELD, CA   93307-4017",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333868,,CARRIER,ACTIVE,None,CASCADE POOLS & SPAS INC,,CASCADE POOLS & SPAS INC,"15019 THUNDER VALLEY RD
BAKERSFIELD, CA   93314-7219",(661) 587-6601,(661) 587-6601,CASCADEPOOLS@ATT.NET,"15019 THUNDER VALLEY RD
BAKERSFIELD, CA   93314-7219",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3333886,,CARRIER,ACTIVE,None,ROBLES TRANSPORTATION INC,,ROBLES TRANSPORTATION INC,"619 W MARIANA ST
RIALTO, CA   92376-2647",(951) 250-8044,(951) 250-8044,ROBLESTRANSPORTATIONINC@GMAIL.COM,"619 W MARIANA ST
RIALTO, CA   92376-2647",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334010,,CARRIER,ACTIVE,None,GAUTAM VERMA,SODHI TRUCKING,GAUTAM VERMA,"2751 W RIVER DR APT 821
SACRAMENTO, CA   95833-3784",(916) 605-9574,(916) 605-9574,VERMAGAUTAM86@GMAIL.COM,"2751 W RIVER DR APT 821
SACRAMENTO, CA   95833-3784",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334011,,CARRIER,NOT AUTHORIZED,None,SERGEI SOLOVEV,,SERGEI SOLOVEV,"7459 CANADY LN
CITRUS HTS, CA   95610",(916) 472-8483,(916) 472-8483,SLA260512@GMAIL.COM,"5060 TURNBRIDGE CT
VACAVILLE, CA   95687-8258",1,1,9/26/2019,1 (2018),"Auth. For Hire, ","Interstate, ","General Freight, "
3334052,,CARRIER,NOT AUTHORIZED,None,EQUAL AUTO TRANSPORT INC,,EQUAL AUTO TRANSPORT INC,"16658 HOLTON ST
LA PUENTE, CA   91744",(909) 264-3161,(909) 264-3161,TRANSPORTATION7@GMAIL.COM,"16658 HOLTON ST
LA PUENTE, CA   91744-1538",1,0,9/12/2019,,"Auth. For Hire, ","Interstate, ","General Freight, Motor Vehicles, "
3334057,,CARRIER,ACTIVE,None,ROOF SOLUTIONS INC,,ROOF SOLUTIONS INC,"4599 PACE LN
VACAVILLE, CA   95688-9642",(707) 449-7663,(707) 449-7663,RAY@ROOFSOLUTIONSCA.COM,"4599 PACE LN
VACAVILLE, CA   95688-9642",1,4,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Metal: sheets, coils, rolls, Building Materials, Garbage/Refuse, Construction, "
3334066,,CARRIER,ACTIVE,None,LUIS RODRIGUEZ,RODRIGUEZ TRUCKING,LUIS RODRIGUEZ,"13720 WOODPECKER RD
VICTORVILLE, CA   92394-7615",(909) 684-4650,(909) 684-4650,LUISRODRIGUEZ4567@YAHOO.COM,"13720 WOODPECKER RD
VICTORVILLE, CA   92394-7615",1,1,9/17/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334067,,CARRIER,NOT AUTHORIZED,None,MAAN TRUCKLINE INC,,MAAN TRUCKLINE INC,"2375 INDUSTRIAL ROWE
TURLOCK, CA   95380",(415) 712-4003,(415) 712-4003,MAANTRUCKLINE@GMAIL.COM,"2375 INDUSTRIAL ROWE
TURLOCK, CA   95380-9517",1,1,9/12/2019,,"Auth. For Hire, ","Interstate, ","General Freight, Meat, Commodities Dry Bulk, Refrigerated Food, Beverages, Paper Products, "
3334073,,CARRIER,ACTIVE,None,TOLANY FOODS CORPORATION,,TOLANY FOODS CORPORATION,"13840 WOODPECKER RD
VICTORVILLE, CA   92394-7616",(877) 686-5269,(877) 686-5269,TURNAGE@TOLANYFOODS.COM,"13840 WOODPECKER RD
VICTORVILLE, CA   92394-7616",2,4,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334091,,CARRIER,ACTIVE,None,FRANK CASTILLO JR,,FRANK CASTILLO JR,"7196 EL DORADO DR
BUENA PARK, CA   90620-2518",(714) 470-3926,(714) 470-3926,WRXTC714@GMAIL.COM,"7196 EL DORADO DR
BUENA PARK, CA   90620-2518",0,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334096,,CARRIER,ACTIVE,None,SERGIO A HERNANDEZ MACIAS,,SERGIO A HERNANDEZ MACIAS,"8801 BEVERLY BLVD
PICO RIVERA, CA   90660-1907",(323) 492-8705,(323) 492-8705,SERGSTR8801@GMAIL.COM,"8801 BEVERLY BLVD
PICO RIVERA, CA   90660-1907",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334104,,CARRIER,ACTIVE,None,JASON MIDDLETON,,JASON MIDDLETON,"654 PESTANA DR
GALT, CA   95632-2159",(209) 263-2902,(209) 263-2902,MIDDLETONJASON95@GMAIL.COM,"654 PESTANA DR
GALT, CA   95632-2159",1,1,9/12/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Agricultural/Farm Supplies, AGRICULTURE, "
3334105,,CARRIER,ACTIVE,None,DOUGLAS E HERNANDEZ GONZALEZ,,DOUGLAS E HERNANDEZ GONZALEZ,"5525 S NORMANDIE AVE
LOS ANGELES, CA   90037-3415",(323) 479-9668,(323) 479-9668,DOUGLASHER1@OUTLOOK.COM,"5525 S NORMANDIE AVE
LOS ANGELES, CA   90037-3415",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334130,,CARRIER,ACTIVE,None,GSD LOGISTICS CO,,GSD LOGISTICS CO,"1013 E 65 ST
INGLEWOOD, CA   90302",(310) 600-3519,(310) 600-3519,EDWARD@GSDLOGISTICSCO.COM,"1013 E 65 ST
INGLEWOOD, CA   90302",1,1,10/7/2019,"50,000 (2018)","Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334132,,CARRIER,ACTIVE,None,JAIME BARRAZA SOTO,BARRAZA & SONS TRUCKING,JAIME BARRAZA SOTO,"43452 JENNIFER LN
LANCASTER, CA   93535-4816",(580) 279-7431,(580) 279-7431,BARRAZAJAIME40@GMAIL.COM,"43452 JENNIFER LN
LANCASTER, CA   93535-4816",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334152,,CARRIER,ACTIVE,None,JOSE ENRIQUE GUZMAN,,JOSE ENRIQUE GUZMAN,"852 HOLT AVE
HOLTVILLE, CA   92250-1222",(760) 604-9819,(760) 604-9819,TRANSPORTLOADSEG@GMAIL.COM,"852 HOLT AVE
HOLTVILLE, CA   92250-1222",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334155,,CARRIER,NOT AUTHORIZED,None,M1 TRANSPORT,,M1 TRANSPORT,"24650 HEATH CT
MORENO VALLEY, CA   92551",(951) 906-7013,(951) 906-7013,MKMFLD@GMAIL.COM,"PO BOX 10032
MORENO VALLEY, CA   92552-0032",1,2,9/12/2019,,"Auth. For Hire, ","Interstate, ","General Freight, Metal: sheets, coils, rolls, Logs, Poles, Beams, Lumber, Building Materials, Mobile Homes, Machinery, Large Objects, Utilities, Construction, "
3334158,,CARRIER,ACTIVE,None,KHACHATUR HAKOBYAN,KHB FREIGHT,KHACHATUR HAKOBYAN,"629 ORANGE GROVE AVE APT 102
GLENDALE, CA   91205-1772",(818) 640-7766,(818) 640-7766,XACHHAK@YAHOO.COM,"629 ORANGE GROVE AVE APT 102
GLENDALE, CA   91205-1772",11,11,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334170,,CARRIER,ACTIVE,None,XPRESS DELIVERY SERVICE INC,,XPRESS DELIVERY SERVICE INC,"1541 LENOX DR
MODESTO, CA   95350-0527",(209) 529-7737,(209) 529-7737,XPRESSDELIVERY1@HOTMAIL.COM,"2625 COFFEE RD STE F
MODESTO, CA   95355-2050",0,43,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Paper Products, "
3334182,,CARRIER,ACTIVE,None,REYNALDO LOPEZ JR,,REYNALDO LOPEZ JR,"6768 N CHASON WAY
SN BERNRDNO, CA   92407-2096",(626) 824-7744,(626) 824-7744,ADVANCEDIFTA@GMAIL.COM,"1700 SANTA FE AVE STE 206
LONG BEACH, CA   90813-1201",1,1,9/12/2019,"25,000 (2018)","Auth. For Hire, ","Interstate, ","General Freight, Intermodal Cont., "
3334263,,CARRIER,NOT AUTHORIZED,None,MVP TRUCKING LLC,,MVP TRUCKING LLC,"2510 MONTEREY ST APT 4022
TORRANCE, CA   90503",(424) 832-6878,(424) 832-6878,CORNELLJENKINS@HOTMAIL.COM,"2510 MONTEREY ST APT 4022
TORRANCE, CA   90503-7238",1,1,9/13/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334265,,CARRIER,ACTIVE,None,KP EXPRESS INC,,KP EXPRESS INC,"2910 N TRACY BLVD APT 45
TRACY, CA   95376-1725",(209) 855-0855,(209) 855-0855,CHAUHANKANWARPAL93@GMAIL.COM,"2910 N TRACY BLVD APT 45
TRACY, CA   95376-1725",1,1,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334273,,CARRIER,ACTIVE,None,RANF SERVICES LLC,,RANF SERVICES LLC,"12579 9TH STREET D103
GARDEN GROVE, CA   92840",(714) 393-6947,(714) 393-6947,ROMILIENFLEMING49@GMAIL.COM,"12579 9TH STREET D103
GARDEN GROVE, CA   92840",1,2,10/22/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Construction, "
3334315,,CARRIER,ACTIVE,None,VALL ROAD TRUCKING LLC,,VALL ROAD TRUCKING LLC,"1555 ORANGE AVE UNIT 703
REDLANDS, CA   92373-1455",(909) 942-9752,(909) 942-9752,VALLROADTRUCKINGLLC@GMAIL.COM,"1555 ORANGE AVE UNIT 703
REDLANDS, CA   92373-1455",1,1,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, US Mail, "
3334329,,CARRIER,ACTIVE,None,CAREFUL BUDGET MOVING LLC,,CAREFUL BUDGET MOVING LLC,"606 N FIGUEROA ST APT 403
LOS ANGELES, CA   90012-3597",(213) 952-0716,(213) 952-0716,TOKSANBAYEVK@GMAIL.COM,"606 N FIGUEROA ST APT 403
LOS ANGELES, CA   90012-3597",1,1,9/16/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Household Goods, "
3334340,,CARRIER,ACTIVE,None,CONRAD RODRIGUEZ,ACR TRANSPORT,CONRAD RODRIGUEZ,"1408 E BROADWAY
LONG BEACH, CA   90802-4032",(909) 440-7738,(909) 440-7738,CONRADRODRIGUEZ@ROCKETMAIL.COM,"1408 E BROADWAY
LONG BEACH, CA   90802-4032",1,1,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Garbage/Refuse, "
3334367,,CARRIER,ACTIVE,None,BRUCE PHAM,,LINK SERVICES,"1813 W SAINT ANDREW PL
SANTA ANA, CA   92704-4231",(949) 910-6578,(949) 910-6578,DISPATCHLINKUSA@GMAIL.COM,"1813 W SAINT ANDREW PL
SANTA ANA, CA   92704-4231",1,1,10/25/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Household Goods, "
3334379,,CARRIER,ACTIVE,None,CASTLE EQUIPMENT SERVICES INC,,CASTLE EQUIPMENT SERVICES INC,"1220 CENTURY CT
SANTA ROSA, CA   95403-1042",(707) 528-7867,(707) 528-7867,JAMIE@CASTLEPUMP.COM,"1220 CENTURY CT
SANTA ROSA, CA   95403-1042",3,6,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Building Materials, "
3334402,,CARRIER,ACTIVE,None,URIEL ALFARO,,URIEL ALFARO,"5552 KINGMAN AVE
BUENA PARK, CA   90621-1918",(714) 769-5671,(714) 769-5671,ALEXALFAROMTZ@GMAIL.COM,"5552 KINGMAN AVE
BUENA PARK, CA   90621-1918",0,1,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334409,,CARRIER,ACTIVE,None,WILLIAM MONTECINO,WILLY'S EXPRESS,WILLIAM MONTECINO,"136 KNOLL CIR
S SAN FRAN, CA   94080-3121",(650) 333-7753,(650) 333-7753,JOSH.MONTECINO@GMAIL.COM,"136 KNOLL CIR
S SAN FRAN, CA   94080-3121",1,1,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3334415,,CARRIER,ACTIVE,None,FLEECE CORP,FLEECE CONSTRUCTION,FLEECE CORP,"161 CLARK AVE STE A
PITTSBURG, CA   94565-5293",(925) 303-0302,(925) 303-0302,FLEECECONSTRUCT@GMAIL.COM,"1977 CANYON OAKS CIR
PITTSBURG, CA   94565-6475","89,000",12,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Building Materials, Construction, "
3334420,,CARRIER,NOT AUTHORIZED,None,ABUNDANCE WORLDWIDE ENTERPRISES,,ABUNDANCE WORLDWIDE ENTERPRISES,"2667 HAVENSCOURT BLVD
OAKLAND, CA   94605",(510) 812-6446,(510) 812-6446,DCJDRIVINGSUCCESSIVELY@GMAIL.COM,"15501G SAN PABLO AVE STE#408
SAN PABLO, CA   94806-5810",1,2,11/6/2019,"10,000 (2018)","Auth. For Hire, ","Interstate, ","Building Materials, Construction, DIRT, ROCKS, SAN, "
3334444,,CARRIER,ACTIVE,None,CESAR R BARRAZA,CPB TRANSPORT,CESAR R BARRAZA,"844 OSBORNE ST
VISTA, CA   92084",(442) 236-0924,(442) 236-0924,CESAR-BARRAZA-RUIZ-@HOTMAIL.COM,"844 OSBORNE ST
VISTA, CA   92084",1,1,9/19/2019,5 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, CITRUS DRY GROCE, "
3334447,,CARRIER,ACTIVE,None,MIGUEL A GARNICA,,MIGUEL A GARNICA,"8526 INTERNATIONAL AVE APT 83
CANOGA PARK, CA   91304-2694",(747) 258-8434,(747) 258-8434,GARNICAMIGUEL94@GMAIL.COM,"8526 INTERNATIONAL AVE APT 83
CANOGA PARK, CA   91304-2694",1,2,9/13/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Motor Vehicles, Drive/Tow away, "
3334471,,CARRIER,NOT AUTHORIZED,None,YNEZ GROUP LLC,,YNEZ GROUP LLC,"21935 VAN BUREN ST STE 22
GRAND TERRACE, CA   92313",(562) 254-5266,(562) 254-5266,JOE@NEISALES.COM,"21935 VAN BUREN ST STE 22
GRAND TERRACE, CA   92313-5641",0,1,9/13/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3334473,,CARRIER,NOT AUTHORIZED,None,ALBERTO JR MENCHACA,FORTY TWO TRUCKING,ALBERTO JR MENCHACA,"14038 1/2 GLENGYLE ST
WHITTIER, CA   90604",(562) 454-2013,(562) 454-2013,YOLANDANUNEZ80@GMAIL.COM,"14038 1/2 GLENGYLE ST
WHITTIER, CA   90604-2433",1,1,9/13/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3334478,,CARRIER,ACTIVE,None,RE MASON ENGINEERING LLC,,RE MASON ENGINEERING LLC,"1195 W SHAW AVE # D
FRESNO, CA   93711-3704",(559) 917-5900,(559) 917-5900,IFTA.TRUCKERS@YAHOO.COM,"1195 W SHAW AVE # D
FRESNO, CA   93711-3704",4,4,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334531,,CARRIER,NOT AUTHORIZED,None,SONIA ESPERANZA MEJIA,D J S TRANSPORT,SONIA ESPERANZA MEJIA,"20610 PIONEER BLVD
LAKEWOOD, CA   90715",(562) 500-8539,(562) 500-8539,VEGA@VEGAONTIME.COM,"20610 PIONEER BLVD
LAKEWOOD, CA   90715-1349",1,1,9/13/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3334556,,CARRIER,NOT AUTHORIZED,None,GOT HOOKED TRANSPORT,,GOT HOOKED TRANSPORT,"6904 ORAN CIR
BUENA PARK, CA   90621",(714) 562-8500,(714) 562-8500,SANDOVALA922@GMAIL.COM,"6904 ORAN CIR
BUENA PARK, CA   90621-3306",1,"13,001",9/13/2019,,"Auth. For Hire, ","Interstate, ","Building Materials, "
3334563,,CARRIER,ACTIVE,None,SAN DIEGO PARTY TOURS LLC,,SAN DIEGO PARTY TOURS LLC,"6440 W 84TH ST
LOS ANGELES, CA   90045-2880",(310) 614-6607,(310) 614-6607,SDPARTYTOURS@GMAIL.COM,"6440 W 84TH ST
LOS ANGELES, CA   90045-2880",1,1,9/13/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Passengers, "
3334573,,CARRIER,NOT AUTHORIZED,None,UNICORN EXPRESS INC,,UNICORN EXPRESS INC,"6569 N RIVERSIDE DR STE 102 # 259
FRESNO, CA   93722-9319",(559) 570-8258,(559) 570-8258,UNICORNEXPRESS3@GMAIL.COM,"6569 N RIVERSIDE DR STE 102 # 259
FRESNO, CA   93722-9319",1,1,9/13/2019,1 (2018),"Auth. For Hire, ","Interstate, ","General Freight, Fresh Produce, Meat, Refrigerated Food, Beverages, Paper Products, "
3334595,,CARRIER,ACTIVE,None,USER'S SERVICES,,USER'S SERVICES,"150 PALM VALLEY BLVD APT 4191
SAN JOSE, CA   95123-1077",(813) 465-3287,(813) 465-3287,RIBEIRO.HELEN@YAHOO.COM,"150 PALM VALLEY BLVD APT 4191
SAN JOSE, CA   95123-1077",1,50,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3334596,,CARRIER,ACTIVE,None,IVAN BALTAZAR SANTANA DELGADO,,IVAN BALTAZAR SANTANA DELGADO,"10566 BURTON ST
RIVERSIDE, CA   92505-1665",(469) 778-4009,(469) 778-4009,IVAN.SANTANATRUCKING02@GMAIL.COM,"10566 BURTON ST
RIVERSIDE, CA   92505-1665",1,1,9/13/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Fresh Produce, "
