USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3386629,,2020-01-24,Carrier,Not Authorized,None,Adams 5 Trucking Llc,,,112 Doe Run,Powderly,TX,75473,(903) 900-3857,,,112 Doe Run,Powderly,TX,75473,1,1,,Auth. For Hire ,Interstate ,General Freight
3386632,,2020-01-24,Carrier,Active,None,Toskon Trucking Llc,,,4201 Fairmont Pkwy Apt 2004,Pasadena,TX,77504,(832) 420-2502,,,4201 Fairmont Pkwy Apt 2004,Pasadena,TX,77504,1,2,,Auth. For Hire ,Intrastate  ,Other
3386634,,2020-01-24,Carrier,Active,None,Akj Express Transport Llc,,,17347 Deep Prairie Dr,Houston,TX,77095,(281) 758-9717,,,17347 Deep Prairie Dr,Houston,TX,77095,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386641,,2020-01-24,Carrier,Active,None,A Moreno Trucking,No,,15806 Ironside Hill Dr,Houston,TX,77053,(281) 857-2278,,,15806 Ironside Hill Dr,Houston,TX,77053,1,1,,Auth. For Hire ,Intrastate  ,Other
3386673,,2020-01-24,Carrier,Active,None,Qmaur Llc,,,10111 Fourwind Pass,San Antonio,TX,78245,(210) 954-0134,,,10111 Fourwind Pass,San Antonio,TX,78245,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386681,,2020-01-24,Carrier,Active,None,Young Logistics Management Llc,,,16176 Moss Haven Ln,Little Elm,TX,75068,(214) 681-8480,,,16176 Moss Haven Ln,Little Elm,TX,75068,1,1,1 (2019),Auth. For Hire ,Intrastate  ,General Freight
3386705,,2020-01-24,Carrier,Not Authorized,None,New Era Transport Llc,,,10954 Page St,El Paso,TX,79927,(915) 540-1607,,,10954 Page St,El Paso,TX,79927,3,3,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386708,,2020-01-24,Carrier,Not Authorized,None,Turbo Lube Trucking Llc,,,2513 Wernecke Ave,Mission,TX,78574,(956) 239-5778,,,2513 Wernecke Ave,Mission,TX,78574,1,1,,Auth. For Hire ,Interstate ,General Freight
3386717,,2020-01-24,Carrier,Active,None,Juan Antonio Duran,Duran Trucking,,3016 N Terry St,Fort Worth,TX,76106,(817) 308-3407,,,3016 N Terry St,Fort Worth,TX,76106,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386722,,2020-01-24,Carrier,Not Authorized,None,Providence And Provision Trucking,,,"22518 Guncotton Ave 22518 Guncotton Ave
Hockley, Tx   77447",,,,(832) 491-6165,,,"22518 Guncotton Ave 22518 Guncotton Ave
Hockley, Tx   77447-2516",,,,6,1,,Auth. For Hire ,Interstate ,Motor Vehicles
3386750,,2020-01-24,Carrier,Active,None,Isnel Gonzalez Hernandez,Isnel Trucking,,18719 Parfield Ln,Houston,TX,77084,(281) 330-8004,,,18719 Parfield Ln,Houston,TX,77084,1,1,,Auth. For Hire ,Intrastate  ,Other
3386753,,2020-01-24,Carrier,Active,None,Manuel Ventura,Ventura Trucking,,3604 N Elm St,Fort Worth,TX,76106,(817) 691-6609,,,3604 N Elm St,Fort Worth,TX,76106,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386775,,2020-01-24,Carrier,Active,None,Dynostar Logistics Llc,,,124 Arunda Ct,Weatherford,TX,76085,(817) 789-2298,,,124 Arunda Ct,Weatherford,TX,76085,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386785,,2020-01-24,Carrier,Active,None,Giusseppe Rodriguez Valdes,Acw Transport,,19303 Gagelake Ln,Houston,TX,77084,(832) 378-1433,,,19303 Gagelake Ln,Houston,TX,77084,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386794,,2020-01-24,Carrier,Not Authorized,None,Tomekia Lashall Lewis & Terry Lamar Britton,Ttl Transport,,7206 Jay St Ste B,Houston,TX,77028,(281) 221-0536,,,7206 Jay St Ste B,Houston,TX,77028,1,2,,Auth. For Hire ,Interstate ,General Freight
3386795,,2020-01-24,Carrier,Active,None,Victor Manuel Castro Reyes,B & M Transport,,12811 Greenwood Forest Dr Apt 115,Houston,TX,77066,(813) 748-7614,,,12811 Greenwood Forest Dr Apt 115,Houston,TX,77066,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386814,,2020-01-24,Carrier,Active,None,John Michael Givens,,,12633 Live Oak Ln,Buda,TX,78610,(512) 964-5803,,,12633 Live Oak Ln,Buda,TX,78610,2,1,,Auth. For Hire ,Intrastate  ,General Freight
3386872,,2020-01-24,Carrier,Active,None,Ultimate Movers And Storage,,,12703 Glenhollow Dr,Houston,TX,77048,(713) 502-2575,,,12703 Glenhollow Dr,Houston,TX,77048,1,1,,Auth. For Hire ,Intrastate  ,Household Goods
3386896,,2020-01-24,Carrier,Not Authorized,None,Mayeli Mariela Buendia Alfaro,Mislandy Trucks,,6726 Dusty Dawn Dr,Houston,TX,77086,(832) 542-1976,,,6726 Dusty Dawn Dr,Houston,TX,77086,1,1,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386906,,2020-01-24,Carrier,Active,None,Rogelio Portillo,Rpp Trucking,,1018 Oscar Chacon,San Elizario,TX,79849,(915) 603-1833,,,1018 Oscar Chacon,San Elizario,TX,79849,1,1,,Auth. For Hire ,Intrastate  ,Other
